Title,"Product ID",Type,Status,Permalink,Sku,"Current Price","Regular Price","Sale Price",Downloadable,Virtual,Cogs,"Managing Stock","In Stock","Stock Quantity","Backorders Allowed",Weight,Barcode,Brand,"Tax Status","Tax Class","Shipping Class","Reviews Allowed","Average Rating","Rating Count",Atts,Dimensions,"Low Stock Amount","Sold Individually","Catalog Visibility","Product Created At","Product Updated At",Image,Description,Tags,"Category IDs","Category Names","Gross Items Sold","Items Sold","Gross Sales","Total Tax","Total Discounted","Total Refunds","Items Refunded","Refund Rate","First Sold","Last Sold","Net Sales","Net Orders","Gross Items Sold Free","Daily Gross Items Sold","Days Of Stock Left","Sales Cost","Sales Profit","Sales Margin","Inventory Cost","Inventory Sale Value"
"Golden Spectrum 35% CBD | CBG | CBN",55192949,simple,publish,https://dutchgreenalternative.nl/product/golden-spectrum-35-cbd-cbg-cbn/,5002,89.95,89.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-18 05:45:20","2025-03-09 01:19:32",https://dutchgreenalternative.nl/wp-content/uploads/2021/11/Golden-spectrum.png,,GoldenSpectrum,"19
20
21","Homepage
Premium
RAW",15.00,15.00,1083.90,0.00,76.46,0.00,0.00,0.00,"2026-01-08 08:05:12","2026-03-03 08:19:32",1083.90,4,0.00,0.22,,0.00,1083.90,100.00,0.00,0.00
"CBD RAW 11%",55196020,simple,publish,https://dutchgreenalternative.nl/product/cbd-raw-11/,80678362,41.95,41.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-18 05:53:50","2023-04-14 12:47:52",https://dutchgreenalternative.nl/wp-content/uploads/2021/11/Untitled-design-62.png,,11%RAW,"18
19
21","CBD
Homepage
RAW",11.00,11.00,370.85,0.00,33.98,0.00,0.00,0.00,"2026-01-08 11:16:55","2026-03-03 08:19:32",370.85,3,0.00,0.16,,0.00,370.85,100.00,0.00,0.00
"Good Night",55196016,simple,publish,https://dutchgreenalternative.nl/product/good-night/,4003-2022,28.95,28.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-18 05:50:07","2023-04-14 12:49:44",https://dutchgreenalternative.nl/wp-content/uploads/2021/11/Good-Night.png,,GoodNight,"19
26","Homepage
Pure Formula+",9.00,9.00,193.39,0.00,41.11,0.00,0.00,0.00,"2026-01-08 11:26:28","2026-03-06 09:22:41",193.39,3,0.00,0.13,,0.00,193.39,100.00,0.00,0.00
"CBD Gold 35%",55192587,simple,publish,https://dutchgreenalternative.nl/product/cbd-gold-35/,5001,84.95,84.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-11 03:34:57","2025-05-06 08:30:09",https://dutchgreenalternative.nl/wp-content/uploads/2021/11/35.png,,GOLD35%,"19
20","Homepage
Premium",4.00,4.00,297.33,0.00,16.99,0.00,0.00,0.00,"2026-01-06 11:10:32","2026-03-05 13:40:02",297.33,2,0.00,0.06,,0.00,297.33,100.00,0.00,0.00
"Body Harmony",55192955,simple,publish,https://dutchgreenalternative.nl/product/body-harmony/,4002-NF,28.95,28.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-18 05:51:53","2025-05-06 08:29:44",https://dutchgreenalternative.nl/wp-content/uploads/2021/11/Body-Harmony.png,,BodyHarmony,26,"Pure Formula+",3.00,3.00,62.54,0.00,15.63,0.00,0.00,0.00,"2026-03-03 11:19:13","2026-03-03 11:19:13",62.54,1,0.00,0.04,,0.00,62.54,100.00,0.00,0.00
"CBG RAW 12%",55192961,simple,publish,https://dutchgreenalternative.nl/product/cbg-raw-12/,3001,49.95,49.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-18 05:56:19","2025-05-06 08:29:25",https://dutchgreenalternative.nl/wp-content/uploads/2021/11/12-CBG.png,,CBG12%,23,CBG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
"CBD Care Balm (50ml)",55193297,simple,publish,https://dutchgreenalternative.nl/winkel/cbd-care-balm/,2001,29.95,29.95,0.00,,,,,,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-22 06:13:16","2022-06-07 16:06:37",https://dutchgreenalternative.nl/wp-content/uploads/2021/11/product3-vierkant-scaled.jpg,"<p>Intensiv pflegender Balsam mit einem hohen Anteil an hochwertigem Hanföl und Ringelblumen. Der Ringelblumenextrakt mit seiner wohltuenden Wirkung wird traditionell verwendet. Der Balsam wird verwendet, um lokalisierte und chronische Schmerzen wie Arthritis, Gelenkschmerzen, Muskelentzündungen und Schmerzen sowie häufige Hauterkrankungen wie trockene, juckende Haut, Ausschläge und Blasen zu lindern. In Kombination mit Hanföl und vor allem den wertvollen essentiellen Fettsäuren wird die Haut beruhigt und die Wundheilung unterstützt.</p>
","Care Balm",255,Cosmetics,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
"CBD Face Mask (30ml)",55193301,simple,publish,https://dutchgreenalternative.nl/product/cbd-care-face-mask/,2002,29.95,29.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2021-11-22 06:13:57","2023-04-14 12:53:13",https://dutchgreenalternative.nl/wp-content/uploads/2023/04/product2-vierkant-scaled-1.jpg,"<p>Formuliert mit 100% natürlichen, organischen Inhaltsstoffen, natürlichem Vitaminkomplex und CBD-Öl, produziert unsere CBD-Schlafmaske über Nacht Hautreparaturen und liefert gründliche Ergebnisse. Die natürlich entzündungshemmenden und hautheilenden Eigenschaften von CBD reagieren mit den natürlichen Cannabinoidrezeptoren unseres Körpers, um Spannungen abzubauen und Entspannung zu bewirken. Reich an Textur und aromatischem Duft von Aloe Vera und grünem Tee sorgen für eine wohltuende, abendliche Anwendung. Die perfekte Lösung für das Ritual im Schlaf.</p>
","Face Mask",33,Cosmetics,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
"Immunitäts-Booster | Nahrungsergänzungsmittel 180 Stück",55194123,simple,publish,https://dutchgreenalternative.nl/winkel/immunitaets-booster-nahrungsergaenzungsmittel-180-stueck/,6002,39.95,39.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2022-01-20 03:14:06","2022-02-15 10:04:55",https://dutchgreenalternative.nl/wp-content/uploads/2022/01/Untitled-design-20-1.jpg,,,256,Vitamine,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
"Immunitäts-Booster | Nahrungsergänzungsmittel 90 Stück",55194125,simple,publish,https://dutchgreenalternative.nl/winkel/immunitaets-booster-nahrungsergaenzungsmittel-90-stueck/,6001,19.95,19.95,0.00,,,,,1,,,,,,taxable,,,,0.00,,,"{""length"":"""",""width"":"""",""height"":""""}",,,,"2022-01-20 03:16:08","2022-02-15 10:04:47",https://dutchgreenalternative.nl/wp-content/uploads/2022/01/Untitled-design-20.jpg,,,256,Vitamine,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
